Name,Team,Position,Fixture,Ownership,Start,Price,CS,LongStart,Start_DGW,AnytimeAssist,AnytimeAssist_DGW,AnytimeAssistDGW,AnytimeGoal,AnytimeGoal_DGW,AnytimeGoalDGW,AnytimeReturn,xStartingPredicted,xPredicted,xGW2,xGW3,xGW4,xGW5,xGW6,xNext2GWsStart,xNext3GWsStart,xNext4GWsStart,xNext5GWsStart,xNext6GWsStart,xNext2GWs,xNext3GWs,xNext4GWs,xNext5GWs,xNext6GWs,Reserve,Blank,Double,xName,StartingPredicted,Predicted,GW2,GW3,GW4,GW5,GW6,Next2GWsStart,Next3GWsStart,Next4GWsStart,Next5GWsStart,Next6GWsStart,Next2GWs,Next3GWs,Next4GWs,Next5GWs,Next6GWs
Calafiori,Arsenal,DEF,Brighton (a),1%,90%,5.8,33%,70%,90%,6%,0%,6%,9%,0%,9%,15%,3.7,3.3,4.2,3.7,4.0,3.4,4.2,7.9,11.6,15.6,19.0,23.2,6.3,8.9,11.7,14.0,17.0,N,N,N,Calafiori,5.4,4.9,4.6,5.2,3.2,2.3,5.5,10.0,15.2,18.4,20.7,26.2,8.1,11.7,14.0,15.6,19.4
G.Jesus,Arsenal,FWD,Brighton (a),7%,70%,6.8,33%,60%,70%,19%,0%,19%,35%,0%,35%,47%,4.9,3.4,5.3,4.9,5.4,4.3,5.7,10.2,15.1,20.4,24.7,30.4,6.6,9.5,12.7,15.3,18.7,N,N,N,Fabio Vieira,2.4,1.7,1.5,2.4,2.1,2.0,2.4,3.8,6.2,8.3,10.3,12.7,2.5,3.9,5.2,6.4,7.9
Gabriel,Arsenal,DEF,Brighton (a),29%,90%,6.4,33%,80%,90%,7%,0%,7%,11%,0%,11%,17%,3.8,3.5,4.3,3.8,4.2,3.5,4.4,8.2,12.0,16.2,19.7,24.0,6.9,10.0,13.3,16.1,19.6,N,N,N,G.Jesus,5.6,5.0,4.9,5.4,3.3,2.3,5.7,10.5,15.9,19.2,21.5,27.2,9.0,13.3,15.9,17.8,22.3
Havertz,Arsenal,FWD,Brighton (a),10%,70%,7.9,33%,80%,70%,18%,0%,18%,33%,0%,33%,45%,4.7,3.3,5.1,4.7,5.1,4.1,5.4,9.7,14.4,19.5,23.6,29.0,7.3,11.0,15.1,18.4,22.7,N,N,N,Gabriel,5.4,3.8,4.6,5.3,3.2,2.3,5.5,10.0,15.3,18.5,20.7,26.2,7.5,11.7,14.2,16.1,20.5
J.Timber,Arsenal,DEF,Brighton (a),8%,0%,5.7,33%,0%,0%,7%,0%,7%,8%,0%,8%,14%,3.6,0.0,4.1,3.6,3.9,3.3,4.1,7.8,11.4,15.3,18.6,22.7,0.0,0.0,0.0,0.0,0.0,N,N,N,Havertz,5.5,0.0,4.9,5.3,3.2,2.3,5.6,10.4,15.7,18.9,21.2,26.8,0.0,0.0,0.0,0.0,0.0
Jorginho,Arsenal,MID,Brighton (a),0%,20%,4.7,33%,20%,20%,8%,0%,8%,12%,0%,12%,19%,3.2,0.6,3.6,3.2,3.4,2.9,3.5,6.8,10.0,13.3,16.2,19.7,1.4,2.0,2.7,3.2,3.9,N,N,N,J.Timber,4.7,0.9,3.8,4.6,3.0,2.2,4.8,8.6,13.2,16.1,18.3,23.1,1.7,2.6,3.2,3.7,4.6
Kiwior,Arsenal,DEF,Brighton (a),0%,0%,4.8,33%,20%,0%,5%,0%,5%,8%,0%,8%,13%,3.4,0.0,3.9,3.4,3.7,3.1,3.8,7.4,10.8,14.5,17.6,21.5,0.8,1.5,2.2,2.8,3.6,N,N,N,Jorginho,5.3,0.0,4.5,5.2,3.2,2.3,5.4,9.8,15.0,18.2,20.4,25.8,0.9,1.9,2.6,3.0,4.1
Lewis-Skelly,Arsenal,MID,Brighton (a),0%,70%,4.5,33%,40%,70%,9%,0%,9%,11%,0%,11%,20%,3.2,2.2,3.6,3.2,3.3,2.9,3.5,6.8,10.0,13.3,16.2,19.7,3.7,4.9,6.3,7.4,8.8,N,N,N,Kiwior,3.9,2.7,3.0,3.8,2.6,2.2,3.9,6.9,10.7,13.3,15.5,19.4,3.9,5.4,6.5,7.3,8.9
Martinelli,Arsenal,MID,Brighton (a),4%,80%,6.8,33%,80%,80%,19%,0%,19%,29%,0%,29%,43%,5.1,4.1,5.5,5.1,5.6,4.5,6.0,10.6,15.8,21.4,25.9,31.8,8.5,12.6,17.1,20.7,25.5,N,N,N,Lewis-Skelly,5.1,4.1,4.2,4.9,3.1,2.3,5.1,9.3,14.2,17.3,19.6,24.7,7.4,11.4,13.9,15.7,19.8
Merino,Arsenal,MID,Brighton (a),0%,50%,6.0,33%,50%,50%,10%,0%,10%,14%,0%,14%,23%,3.5,1.8,4.0,3.5,3.8,3.2,4.0,7.5,11.1,14.9,18.1,22.0,3.8,5.5,7.4,9.0,11.0,N,N,N,Martinelli,6.3,3.2,5.6,6.1,3.5,2.4,6.4,12.0,18.1,21.6,23.9,30.4,6.0,9.0,10.8,12.0,15.2
